WV,Spectral Radiance (uW/cm2-sr-nm),Luminance (fL),CCT (K),Integrated Spectral Radiance (uW/cm2-sr)
300,"5,07E-03","6,94E+01",2849,"4,50E+02"
310,"5,15E-03",,,
320,"7,16E-03",,,
330,"9,83E-03",,,
340,"13,48E-03",,,
350,"18,30E-03",,,
360,"24,30E-03",,,
370,"31,47E-03",,,
380,"39,78E-03",,,
390,"49,16E-03",,,
400,"59,58E-03",,,
410,"71,06E-03",,,
420,"83,58E-03",,,
430,"97,22E-03",,,
440,"112,05E-03",,,
450,"128,18E-03",,,
460,"145,63E-03",,,
470,"164,48E-03",,,
480,"184,61E-03",,,
490,"205,74E-03",,,
500,"227,56E-03",,,
510,"251,36E-03",,,
520,"274,19E-03",,,
530,"297,59E-03",,,
540,"321,51E-03",,,
550,"345,82E-03",,,
560,"370,36E-03",,,
570,"395,12E-03",,,
580,"419,99E-03",,,
590,"444,92E-03",,,
600,"469,75E-03",,,
610,"494,48E-03",,,
620,"518,98E-03",,,
630,"543,09E-03",,,
640,"567,06E-03",,,
650,"590,66E-03",,,
660,"613,50E-03",,,
670,"635,83E-03",,,
680,"657,43E-03",,,
690,"678,37E-03",,,
700,"698,51E-03",,,
710,"717,92E-03",,,
720,"736,28E-03",,,
730,"753,91E-03",,,
740,"770,60E-03",,,
750,"786,29E-03",,,
760,"801,06E-03",,,
770,"814,73E-03",,,
780,"827,42E-03",,,
790,"839,02E-03",,,
800,"849,72E-03",,,
810,"859,17E-03",,,
820,"867,88E-03",,,
830,"875,31E-03",,,
840,"881,95E-03",,,
850,"887,56E-03",,,
860,"892,19E-03",,,
870,"895,81E-03",,,
880,"898,69E-03",,,
890,"900,61E-03",,,
900,"901,67E-03",,,
910,"902,09E-03",,,
920,"901,70E-03",,,
930,"900,55E-03",,,
940,"898,65E-03",,,
950,"896,38E-03",,,
960,"893,41E-03",,,
970,"889,97E-03",,,
980,"885,99E-03",,,
990,"881,72E-03",,,
1000,"876,90E-03",,,
1010,"871,82E-03",,,
1020,"866,39E-03",,,
1030,"860,75E-03",,,
1040,"854,71E-03",,,
1050,"848,62E-03",,,
1060,"842,23E-03",,,
1070,"835,61E-03",,,
1080,"828,79E-03",,,
1090,"821,72E-03",,,
1100,"814,60E-03",,,
